FCS File,plate,row,column,Other Sample Source Information,Sample Description,gene_intron_is_from,intron_number,variant,branch_point,induced_protein,from_glycerol_stock,induction,replicate
075.fcs,1,D,10,v3,RPL7B.Intron1.S1+D4.consensusBP,RPL7B,Intron1,S1+D4,consensusBP,Rpl7a,False,uninduced,b
076.fcs,1,E,10,v3,RPL7B.Intron1,RPL7B,Intron1,wt,wtBP,Rpl7a,True,uninduced,a
077.fcs,1,F,10,v3,RPL7B.Intron1.S1,RPL7B,Intron1,S1,wtBP,Rpl7a,True,uninduced,a
078.fcs,1,G,10,v3,RPL7B.Intron1.S1.consensusBP,RPL7B,Intron1,S1,consensusBP,Rpl7a,True,uninduced,a
079.fcs,1,A,11,v3,RPL7B.Intron1.S1+D3.consensusBP,RPL7B,Intron1,S1+D3,consensusBP,Rpl7a,False,induced,a
080.fcs,1,B,11,v3,RPL7B.Intron1.S1+D3.consensusBP,RPL7B,Intron1,S1+D3,consensusBP,Rpl7a,False,induced,b
081.fcs,1,C,11,v3,RPL7B.Intron1.S1+D4.consensusBP,RPL7B,Intron1,S1+D4,consensusBP,Rpl7a,False,induced,a
082.fcs,1,D,11,v3,RPL7B.Intron1.S1+D4.consensusBP,RPL7B,Intron1,S1+D4,consensusBP,Rpl7a,False,induced,b
083.fcs,1,E,11,v3,RPL7B.Intron1,RPL7B,Intron1,wt,wtBP,Rpl7a,True,induced,a
084.fcs,1,F,11,v3,RPL7B.Intron1.S1,RPL7B,Intron1,S1,wtBP,Rpl7a,True,induced,a
085.fcs,1,G,11,v3,RPL7B.Intron1.S1.consensusBP,RPL7B,Intron1,S1,consensusBP,Rpl7a,True,induced,a
086.fcs,1,A,12,v3,no-GFP,NA,NA,NA,NA,NA,True,uninduced,a
087.fcs,1,B,12,v3,no-GFP,NA,NA,NA,NA,NA,True,induced,a
088.fcs,1,A,1,v4,RPL7B.Intron1.U1,RPL7B,Intron1,U1,wtBP,Rpl7a,False,uninduced,a
089.fcs,1,B,1,v4,RPL7B.Intron1.U1,RPL7B,Intron1,U1,wtBP,Rpl7a,False,uninduced,b
090.fcs,1,C,1,v4,RPL7B.Intron1.U2,RPL7B,Intron1,U2,wtBP,Rpl7a,False,uninduced,a
091.fcs,1,D,1,v4,RPL7B.Intron1.U2,RPL7B,Intron1,U2,wtBP,Rpl7a,False,uninduced,b
092.fcs,1,E,1,v4,RPL7B.Intron1.U3,RPL7B,Intron1,U3,wtBP,Rpl7a,False,uninduced,a
093.fcs,1,F,1,v4,RPL7B.Intron1.U3,RPL7B,Intron1,U3,wtBP,Rpl7a,False,uninduced,b
094.fcs,1,A,2,v4,RPL7B.Intron1.U1,RPL7B,Intron1,U1,wtBP,Rpl7a,False,induced,a
095.fcs,1,B,2,v4,RPL7B.Intron1.U1,RPL7B,Intron1,U1,wtBP,Rpl7a,False,induced,b
096.fcs,1,C,2,v4,RPL7B.Intron1.U2,RPL7B,Intron1,U2,wtBP,Rpl7a,False,induced,a
097.fcs,1,D,2,v4,RPL7B.Intron1.U2,RPL7B,Intron1,U2,wtBP,Rpl7a,False,induced,b
098.fcs,1,E,2,v4,RPL7B.Intron1.U3,RPL7B,Intron1,U3,wtBP,Rpl7a,False,induced,a
099.fcs,1,F,2,v4,RPL7B.Intron1.U3,RPL7B,Intron1,U3,wtBP,Rpl7a,False,induced,b
100.fcs,1,H,3,v4,RPL7B.Intron1,RPL7B,Intron1,wt,wtBP,Rpl7a,True,uninduced,a
101.fcs,1,H,4,v4,RPL7B.Intron1,RPL7B,Intron1,wt,wtBP,Rpl7a,True,induced,a
102.fcs,1,A,5,v4,no-GFP,NA,NA,NA,NA,NA,True,uninduced,a
103.fcs,1,A,6,v4,no-GFP,NA,NA,NA,NA,NA,True,induced,a
104.fcs,1,A,1,v5,no-GFP-with-mCherryOnly,NA,NA,NA,NA,mCherryOnly,True,uninduced,a
105.fcs,1,B,1,v5,RPL7B.Intron1,RPL7B,Intron1,wt,wtBP,Rpl7a,True,uninduced,a
106.fcs,1,C,1,v5,RPL7B.Intron1.U1,RPL7B,Intron1,U1,wtBP,Rpl7a,True,uninduced,a
107.fcs,1,D,1,v5,RPL7B.Intron1.U1.consensusBP,RPL7B,Intron1,U1,consensusBP,Rpl7a,False,uninduced,a
108.fcs,1,E,1,v5,RPL7B.Intron1.U1.consensusBP,RPL7B,Intron1,U1,consensusBP,Rpl7a,False,uninduced,b
109.fcs,1,F,1,v5,RPL7B.Intron1.U1+S1,RPL7B,Intron1,U1+S1,wtBP,Rpl7a,False,uninduced,a
110.fcs,1,G,1,v5,RPL7B.Intron1.U1+S1,RPL7B,Intron1,U1+S1,wtBP,Rpl7a,False,uninduced,b
111.fcs,1,H,1,v5,RPL7B.Intron1.U1+S1.consensusBP,RPL7B,Intron1,U1+S1,consensusBP,Rpl7a,False,uninduced,a
112.fcs,1,A,2,v5,no-GFP-with-mCherryOnly,NA,NA,NA,NA,mCherryOnly,True,induced,a
113.fcs,1,B,2,v5,RPL7B.Intron1,RPL7B,Intron1,wt,wtBP,Rpl7a,True,induced,a
114.fcs,1,C,2,v5,RPL7B.Intron1.U1,RPL7B,Intron1,U1,wtBP,Rpl7a,True,induced,a
115.fcs,1,D,2,v5,RPL7B.Intron1.U1.consensusBP,RPL7B,Intron1,U1,consensusBP,Rpl7a,False,induced,a
116.fcs,1,E,2,v5,RPL7B.Intron1.U1.consensusBP,RPL7B,Intron1,U1,consensusBP,Rpl7a,False,induced,b
117.fcs,1,F,2,v5,RPL7B.Intron1.U1+S1,RPL7B,Intron1,U1+S1,wtBP,Rpl7a,False,induced,a
118.fcs,1,G,2,v5,RPL7B.Intron1.U1+S1,RPL7B,Intron1,U1+S1,wtBP,Rpl7a,False,induced,b
119.fcs,1,H,2,v5,RPL7B.Intron1.U1+S1.consensusBP,RPL7B,Intron1,U1+S1,consensusBP,Rpl7a,False,induced,a
120.fcs,1,A,3,v5,RPL7B.Intron1.U1+S1.consensusBP,RPL7B,Intron1,U1+S1,consensusBP,Rpl7a,False,uninduced,b
121.fcs,1,A,4,v5,RPL7B.Intron1.U1+S1.consensusBP,RPL7B,Intron1,U1+S1,consensusBP,Rpl7a,False,induced,b
